Year,Quarter,Category,Net Income (in millions),Gross Margin (%),Gross Profit (in millions),EPS,Revenue (in billions),Market Capitalization (in billions)
2024,Q1,Gaming,1184,60.43696643500144,4642,2.3131356995491013,6.1196234403019005,276.18249277850776
2024,Q1,Professional Visualization,1059,58.29323879981047,3966,1.7533109548167556,6.726758403484514,263.99359321024457
2024,Q1,Data Center,1129,55.29111224209254,4787,2.890209087,9.640406467327956,355.46021417919894
2024,Q1,Automotive,692,65.48467378868433,2209,2.109975498074093,8.522072009617663,207.69881541635948
2024,Q1,OEM & Other,1335,59.12300664433097,4610,1.5596376213954493,5.159194647656539,262.24102263233283
2024,Q2,Gaming,1263,61.368678977372966,3435,2.015983035319811,5.823470782489563,327.4056406254519
2024,Q2,Professional Visualization,1207,50.37579601,4830,0.5479829957733338,8.107392007498817,312.2509941002677
2024,Q2,Data Center,859,62.352709941517546,4753,1.253937041686373,7.886142943020838,339.0726273094432
2024,Q2,Automotive,509,62.24191445444843,4826,2.1504338437317125,6.189464106872543,283.28861188841955
2024,Q2,OEM & Other,1223,62.33867993749514,2086,1.225194018,9.67106999,376.0353039374506
2023,Q1,Gaming,986,56.30856701848368,3198,2.7413664896276577,7.452294043087836,306.68382135498666
2023,Q1,Professional Visualization,1051,57.27421541885245,3578,1.4189046751197414,6.137073139866616,482.1295835758439
2023,Q1,Data Center,587,61.40393541,3395,1.589662313164067,6.271782408851965,429.5975761420896
2023,Q1,Automotive,674,58.77203026924641,3208,2.729808388,5.290145801619378,424.5990859551642
2023,Q1,OEM & Other,1100,69.76747676118453,4492,2.5154849726152144,7.172083127790604,471.1159219
2023,Q2,Gaming,1349,52.04089621496056,4536,2.259721458850916,6.558979409970513,225.0267306326056
2023,Q2,Professional Visualization,1177,54.177535121896696,4334,0.7505672182807528,8.481717444077297,365.657741
2023,Q2,Data Center,1037,53.22619035769993,3304,2.798706534361684,6.888759196462404,375.34282068673065
2023,Q2,Automotive,1345,63.06216650930797,2637,2.2856032488727784,5.8980183877981744,488.5809135641687
2023,Q2,OEM & Other,572,55.06583205079564,2770,2.9971175164196664,5.123393641956656,287.64425803776464
2023,Q3,Gaming,1277,59.326215457126125,2094,0.8736207616449844,5.336248157316243,272.24863397463406
2023,Q3,Professional Visualization,1416,54.88851184003205,3899,2.6703151434205354,8.396963867492836,230.08818267964932
2023,Q3,Data Center,615,53.17939167291039,3904,0.9062323366909372,7.268484222780227,204.92888887744223
2023,Q3,Automotive,1476,52.207502823286106,4344,2.0388989107096105,7.682896055543611,478.8587950376572
2023,Q3,OEM & Other,1255,63.126591789305465,3352,0.8095499571236038,9.483356465,400.974964
2023,Q4,Gaming,1209,52.76365902697228,2607,2.620020573305586,9.951694736983525,435.5458736069413
2023,Q4,Professional Visualization,1347,53.93164723360107,3434,2.518297396812527,6.084484922,284.5190317261847
2023,Q4,Data Center,931,57.37450341321928,4498,1.9227518465364832,8.315391015500504,375.9230499
2023,Q4,Automotive,948,66.4198646,3272,1.5179582430649992,6.316611883685753,219.18657983629436
2023,Q4,OEM & Other,1350,51.942025515861225,2180,0.6729174886378451,5.103254997328643,345.6882787803869
2022,Q1,Gaming,599,66.75889814997608,4371,2.243571932861409,8.791893269180708,493.2485419
2022,Q1,Professional Visualization,1484,51.92196815787926,2749,1.633856706695172,6.600085754112339,462.9515735949772
2022,Q1,Data Center,677,69.52918930026792,4187,2.305138999,6.917319471,301.4476855510537
2022,Q1,Automotive,1255,59.37302403295404,3020,2.665955814821573,7.941585567768028,488.4710463624496
2022,Q1,OEM & Other,1297,69.53522176380675,4646,2.9388037625072148,9.155242276180951,269.51048794136136
2022,Q2,Gaming,1159,62.09691039490092,4937,2.639508355981528,8.144909217955743,484.79564672470445
2022,Q2,Professional Visualization,647,64.78527158796604,3645,0.52928521,9.363253277236977,482.4133114119496
2022,Q2,Data Center,1410,50.78375584508641,2843,1.3999451611959095,6.367710174078178,439.7607762057176
2022,Q2,Automotive,923,55.65613925152819,4744,2.324976406060145,8.990234169562818,389.1343810600373
2022,Q2,OEM & Other,788,52.40393122426338,3552,0.9290741931536012,5.928179721529761,462.2863899874841
2022,Q3,Gaming,1461,55.92280395,2925,1.8025915155103232,9.763958284859722,287.9060854
2022,Q3,Professional Visualization,765,52.37455437908488,4197,0.6358449708481341,8.437441381939077,454.6830665938754
2022,Q3,Data Center,1197,56.35966358787952,3134,0.9999913122410002,6.0775383855677925,385.36300757525714
2022,Q3,Automotive,1139,58.28525989,2025,0.5463044861515349,9.736852952444622,203.97105732766985
2022,Q3,OEM & Other,1044,51.28294992697569,3488,2.484244258393552,8.654279034,304.1700553796659
2022,Q4,Gaming,1184,60.43696643500144,4642,2.3131356995491013,6.1196234403019005,276.18249277850776
2022,Q4,Professional Visualization,1059,58.29323879981047,3966,1.7533109548167556,6.726758403484514,263.99359321024457
2022,Q4,Data Center,1129,55.29111224209254,4787,2.890209087,9.640406467327956,355.46021417919894
2022,Q4,Automotive,692,65.48467378868433,2209,2.109975498074093,8.522072009617663,207.69881541635948
2022,Q4,OEM & Other,1335,59.12300664433097,4610,1.5596376213954493,5.159194647656539,262.24102263233283
